nom,type,portion,calories,proteins,lipides,glucides,fibres
Lait de riz enrichi,dairy,100,,,,,
Sandwich au jambon de poulet,autre,100,263,12.18,21.5,4.24,0
Spaghetti au blé complet,autre,100,124,5.33,0.54,26.54,3.23
Tomme,autre,100,,,,,
Pois cassés,autre,100,118,8.34,0.39,21.1,2.92
Haricots roses,autre,100,149,9.06,0.49,27.91,5.3
Chou rouge cuit,vegetable,100,29,1.51,0.09,6.94,2.6
Bouillon ou consommé de poulet (déshydraté),meat,100,5,0.28,0.23,0.3,0
Huile de soja,sauce,100,885,0,100,0,0
Tisane,autre,100,1,0,0,0.2,0
Pain de viande au poivre,autre,100,149,17.3,6.37,4.53,0
Piment en poudre,autre,100,263,6.09,8.69,72.12,21.6
Croquant au sésame,autre,100,517,11.6,33.3,50.3,7.7
Chou-fleur,vegetable,100,23,1.84,0.45,4.11,2.3
Hareng grillé,autre,100,203,23.03,11.59,0,0
Morue charbonnière cuite,autre,100,250,17.19,19.62,0,0
Palette de veau,meat,100,225,31.26,10.09,0,0
Huile de palme,autre,100,885,0,100,0,0
Radis orientaux crus (daikons),autre,100,18,0.6,0.1,4.1,1.6
Beignet de palourde,seafood,100,311,11.9,14.9,30.9,1.16
Crêpe nature (prête-à-manger),autre,100,225,5.33,5.17,39.29,2.4
Biscuit au sucre,autre,100,478,5.1,21.1,67.9,0.8
Jus de pomme,fruit,100,46,0.1,0.13,11.3,0.2
Chocolat au lait,autre,100,38,1.65,0.21,8.98,1.9
Sirop d'érable,autre,100,261,0,0.244,66.89,0
Cresson cru,autre,100,32,2.6,0.7,5.5,1.1
Fondue savoyarde,autre,100,229,14.23,13.47,3.77,0
"Pastis, prêt à boire (1dose d'alcool pour 5 d'eau)",autre,100,44.7,0,0,0.16,0
Noix de coco crue,nuts,100,354,3.33,33.49,15.23,9
Vanille (extrait),autre,100,288,0.06,0.06,12.65,0
Petits pois (congelés),autre,100,77,5.22,0.4,13.62,4.5
Courgette cuite,vegetable,100,15,1.14,0.36,2.69,1
Fenouil (graines),autre,100,345,15.8,14.87,52.29,39.8
Cœur de veau,meat,100,186,29.12,6.75,0.13,0
Haricots rouges maison,autre,100,124,9.13,0.09,22.41,9.3
Pastèque,autre,100,30,0.61,0.15,7.55,0.4
Saucisse fumée (bœuf),autre,100,330,11.24,29.57,4.06,0
Gouda,autre,100,357,24.94,28,2.22,0
Anis (graines),spice,100,337,17.6,15.9,50.02,14.6
Longe de porc braisée,meat,100,239,27.23,13.62,0,0
Huile d'avocat,autre,100,885,0,100,0,0
Lait écrémé instantané (poudre),dairy,100,358,35.1,0.72,52.19,0
Figue sèche,autre,100,249,3.3,0.93,63.87,9.8
Huile de pépins de raisin,fruit,100,885,0,100,0,0
Maïs doux (congelé),cereal,100,93,3.11,0.74,22.33,2.8
Salsifis,autre,100,68,2.73,0.17,15.36,3.1
Concombre cru,vegetable,100,16,0.65,0.11,3.63,0.73
Limonade,autre,100,0,0,0,0,0
Special K  plus (Kellog's),autre,100,,,,,
Tripes à la mode de Caen,autre,100,,,,,
Cacao en poudre,autre,100,486,16.8,23.71,51.39,29.8
Abricot frais,autre,100,48,1.4,0.39,11.12,2
Salami de dinde cuit,meat,100,172,19.3,9.21,1.55,0.1
Gratin de pommes de terre,vegetable,100,132,5.06,7.59,11.27,1.8
Pain de viande (boeuf),autre,100,,,,,
Crispix,autre,100,399,7.3,1,87.2,1.8
Fèves de soja germées sautées,sauce,100,125,13.1,7.1,9.4,0.8
Graisse de canard,meat,100,883,0,99.8,0,0
Rhubarbe,autre,100,21,0.9,0.2,4.54,1.8
Sandwich au bifteck,autre,100,,,,,
Thon rouge frais cuit,seafood,100,184,29.91,6.28,0,0
Loup,autre,100,123,22.44,3.06,0,0
Chouquette,autre,100,,,,,
Jus de mandarine,drink,100,43,0.5,0.2,10.1,0.2
Rillettes,autre,100,417,,39.8,0.1,0
Huile d'olive,autre,100,885,0,100,0,0
Cappucino,autre,100,32,0.2,1.1,5.6,0
Poulet bouilli avec la peau,meat,100,219,24.68,12.56,0,0
Sandwich au poulet,autre,100,175,12.5,10.55,6.75,0
Yaourt nature brassé,dairy,100,68,5.12,2.07,6.91,0
Pain au lait,autre,100,324,10,10.8,46.8,2.5
